Calories,Protein,Fat,Carbs,Fibre,Condition,IF,AND,OR,"Note: Protein, Fat, Carbs, Fibre, are measured in grams"
42,,,11,1.1,FALSE,Healthy,Bad,,
94,1,,25,1.9,FALSE,Not Healthy,Bad,,
30,,,8,1.1,FALSE,Healthy,Bad,,
53,1,,13,0.5,FALSE,Healthy,Bad,,
72,0,0,20,0,FALSE,Healthy,Bad,,
96,1,,24,1.4,FALSE,Not Healthy,Bad,,
60,1,,16,1.8,FALSE,Healthy,Bad,,
67,1,,18,3.6,FALSE,Healthy,Bad,,
110,1,,29,1.3,FALSE,Not Healthy,Bad,,
34,1,,8,4.2,FALSE,Healthy,Bad,,
147,,,40,2.5,TRUE,Not Healthy,Bad,,
27,1,,6,1.9,FALSE,Healthy,Bad,,
41,1,,11,1.8,FALSE,Healthy,Bad,,
45,1,,11,1.5,FALSE,Healthy,Bad,,
38,1,,9,1.2,FALSE,Healthy,Bad,,
70,2,1,22,11.3,FALSE,Not Healthy,Bad,,
92,4,1,27,11.8,FALSE,Not Healthy,Bad,,
173,4,3,34,3,TRUE,Not Healthy,Bad,,
139,2,1,30,1.1,TRUE,Not Healthy,Bad,,
195,7,1,38,1.6,TRUE,Not Healthy,Good,,
84,2,,19,0.5,FALSE,Healthy,Bad,,
102,2,,23,2,FALSE,Not Healthy,Bad,,
185,5,1,41,7.4,TRUE,Not Healthy,Bad,,
41,1,1,7,0.3,FALSE,Healthy,Bad,,
188,3,9,23,3.1,TRUE,Not Healthy,Bad,,
96,3,1,18,1.1,FALSE,Healthy,Bad,,
95,3,1,18,0.9,FALSE,Healthy,Bad,,
88,4,1,16,2.2,FALSE,Healthy,Bad,,
192,7,2,36,1.4,TRUE,Not Healthy,Good,,
94,3,2,17,1.4,FALSE,Healthy,Bad,,
165,5,1,33,1.3,TRUE,Not Healthy,Bad,,
170,6,2,35,4.7,TRUE,Not Healthy,Good,,
88,3,1,17,2.3,FALSE,Healthy,Bad,,
96,3,2,18,1.5,FALSE,Healthy,Bad,,
91,3,1,17,2,FALSE,Healthy,Bad,,
72,3,1,16,3.4,FALSE,Healthy,Bad,,
93,3,1,18,0.8,FALSE,Healthy,Bad,,
100,3,2,17,0.7,FALSE,Healthy,Bad,,
86,3,1,16,2.4,FALSE,Healthy,Bad,,
97,3,2,18,2.1,FALSE,Healthy,Bad,,
80,3,,18,2.7,FALSE,Healthy,Bad,,
108,1,1,23,0.7,FALSE,Not Healthy,Bad,,
134,3,1,28,2.1,FALSE,Not Healthy,Bad,,
95,3,2,18,2.2,FALSE,Healthy,Bad,,
75,2,4,9,0.4,FALSE,Healthy,Bad,,
188,11,3,28,5.2,TRUE,Not Healthy,Good,,
123,1,3,22,1,FALSE,Not Healthy,Bad,,
124,3,2,30,6.1,FALSE,Not Healthy,Bad,,
103,2,,23,0.7,FALSE,Not Healthy,Bad,,
130,1,,30,0.4,FALSE,Not Healthy,Bad,,
267,6,1,57,5.4,TRUE,Not Healthy,Good,,
93,3,,19,0.7,FALSE,Healthy,Bad,,
46,2,,9,0.7,FALSE,Healthy,Bad,,
31,1,1,6,0.4,FALSE,Healthy,Bad,,
69,1,4,8,0.3,FALSE,Healthy,Bad,,
133,4,1,26,1.5,FALSE,Not Healthy,Bad,,
126,5,1,25,2.6,FALSE,Not Healthy,Bad,,
79,3,1,24,14.1,FALSE,Not Healthy,Bad,,
126,4,4,19,0.6,FALSE,Healthy,Bad,,
149,5,7,16,0.7,TRUE,Healthy,Bad,,
116,1,1,26,0.6,FALSE,Not Healthy,Bad,,
142,2,,33,0.6,TRUE,Not Healthy,Bad,,
93,3,1,22,4.3,FALSE,Not Healthy,Bad,,
122,2,5,18,1,FALSE,Healthy,Bad,,
226,5,3,46,3.5,TRUE,Not Healthy,Bad,,
245,5,8,41,5.3,TRUE,Not Healthy,Bad,,
